                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.929,                 3.6543,                  1.237,                0.02377,                0.14766,                0.08751,                0.04444,                 1.8491,                 3.6778,                 1.0698,                0.00026,                0.00026,                0.00026
                      2,                 1.7349,                 2.2394,                 1.0881,                0.69823,                 0.0928,                 0.1449,                0.07607,                 1.7114,                 2.4415,                 1.0327,              0.0005265,              0.0005265,              0.0005265
                      3,                 1.6375,                 1.7748,                 1.0607,                0.71288,                0.16602,                0.18236,                0.09577,                 1.6218,                  1.636,                 1.0437,             0.00078944,             0.00078944,             0.00078944
                      4,                  1.572,                 1.6112,                  1.048,                0.43123,                0.26116,                0.21521,                0.10546,                 1.6584,                 1.4975,                  1.054,              0.0009802,              0.0009802,              0.0009802
                      5,                 1.5596,                 1.4231,                  1.059,                0.47014,                 0.2795,                0.22936,                0.11375,                 1.7261,                 1.4428,                  1.092,              0.0009802,              0.0009802,              0.0009802
                      6,                 1.5653,                 1.3534,                 1.0537,                0.45712,                0.24296,                0.24176,                0.12506,                 1.5589,                 1.2599,                 1.0312,              0.0009736,              0.0009736,              0.0009736
                      7,                 1.5069,                 1.2749,                 1.0298,                0.63454,                0.27763,                0.27281,                0.14671,                 1.5193,                 1.1852,                 1.0169,               0.000967,               0.000967,               0.000967
                      8,                   1.48,                 1.2089,                 1.0369,                0.76433,                0.25914,                0.30725,                0.17297,                   1.47,                 1.0928,                0.99379,              0.0009604,              0.0009604,              0.0009604
                      9,                 1.4319,                  1.156,                 1.0195,                0.43939,                0.26834,                0.28038,                0.15011,                 1.5017,                 1.1652,                 1.0034,              0.0009538,              0.0009538,              0.0009538
                     10,                 1.3917,                  1.113,                 1.0063,                0.50495,                0.26343,                0.27778,                 0.1507,                 1.5289,                 1.2646,                0.99558,              0.0009472,              0.0009472,              0.0009472
                     11,                 1.3704,                 1.0863,                0.99628,                0.68773,                0.28696,                0.32276,                0.18612,                 1.4481,                 1.0926,                0.97491,              0.0009406,              0.0009406,              0.0009406
                     12,                  1.376,                 1.0916,                 1.0197,                0.71801,                0.26542,                0.31686,                0.18725,                 1.4428,                 1.1508,                0.96945,               0.000934,               0.000934,               0.000934
                     13,                 1.3115,                 1.0251,                0.98842,                0.48524,                0.28305,                0.30515,                 0.1774,                 1.3854,                 1.1019,                 0.9751,              0.0009274,              0.0009274,              0.0009274
                     14,                 1.3284,                 1.0045,                0.98895,                0.47658,                0.27828,                0.30611,                0.16753,                 1.3893,                 1.1078,                0.97287,              0.0009208,              0.0009208,              0.0009208
                     15,                 1.3253,                 1.0004,                0.98634,                0.50334,                0.35281,                0.38392,                0.21885,                 1.4102,                 1.0875,                0.97151,              0.0009142,              0.0009142,              0.0009142
                     16,                 1.2804,                0.98187,                0.97653,                0.75833,                0.31376,                0.39724,                0.22513,                 1.3421,                 1.0056,                0.96569,              0.0009076,              0.0009076,              0.0009076
                     17,                 1.2715,                0.95324,                0.97292,                0.69179,                0.36248,                0.38353,                0.22157,                 1.3038,                0.96505,                0.95393,               0.000901,               0.000901,               0.000901
                     18,                  1.262,                0.93433,                0.96512,                0.72674,                0.32317,                0.35605,                0.19114,                 1.4039,                0.96539,                0.97944,              0.0008944,              0.0008944,              0.0008944
                     19,                 1.2541,                0.91809,                0.95041,                0.78687,                0.31505,                0.38693,                0.22077,                 1.3121,                0.93199,                0.95745,              0.0008878,              0.0008878,              0.0008878
                     20,                 1.2373,                0.91607,                0.95787,                0.72024,                0.34814,                 0.4054,                 0.2275,                 1.3294,                0.92091,                0.96025,              0.0008812,              0.0008812,              0.0008812
                     21,                  1.217,                0.89638,                0.95374,                0.75638,                0.31182,                0.40559,                0.22125,                 1.3503,                0.92612,                0.96779,              0.0008746,              0.0008746,              0.0008746
                     22,                  1.206,                0.89608,                0.96258,                0.70128,                0.33455,                0.40645,                0.22643,                 1.3607,                0.99937,                0.96531,               0.000868,               0.000868,               0.000868
                     23,                 1.2506,                0.90308,                0.96795,                0.75062,                0.33424,                0.41485,                0.22459,                 1.3747,                 0.9822,                0.96655,              0.0008614,              0.0008614,              0.0008614
                     24,                 1.2513,                0.90049,                0.95392,                0.61177,                0.40815,                0.42903,                0.21579,                 1.4529,                0.93708,                0.99523,              0.0008548,              0.0008548,              0.0008548
                     25,                 1.2464,                0.88718,                0.96057,                 0.6055,                0.45107,                 0.4436,                0.24279,                 1.3094,                0.91331,                 0.9581,              0.0008482,              0.0008482,              0.0008482
                     26,                 1.1891,                0.84882,                0.95161,                0.61342,                0.41993,                0.44176,                0.24918,                 1.2929,                0.87611,                0.95157,              0.0008416,              0.0008416,              0.0008416
                     27,                 1.1874,                0.83528,                0.94587,                0.62446,                0.41778,                0.47704,                0.25912,                 1.3349,                0.92755,                0.95618,               0.000835,               0.000835,               0.000835
                     28,                 1.1796,                0.82004,                0.94287,                0.50648,                0.50264,                0.46833,                0.25472,                 1.3026,                0.85316,                0.95292,              0.0008284,              0.0008284,              0.0008284
                     29,                 1.2559,                0.86011,                0.96165,                0.56372,                0.51515,                0.52052,                0.26327,                 1.3604,                 0.8781,                0.95942,              0.0008218,              0.0008218,              0.0008218
                     30,                 1.2009,                0.82288,                0.95369,                0.50703,                0.49743,                0.47948,                0.25881,                 1.2941,                0.86565,                0.95212,              0.0008152,              0.0008152,              0.0008152
                     31,                 1.1691,                0.81516,                0.94149,                0.56759,                0.51051,                0.49201,                0.27081,                 1.2469,                 0.8328,                0.94625,              0.0008086,              0.0008086,              0.0008086
                     32,                 1.1689,                0.81732,                0.93825,                0.51221,                0.52352,                0.53374,                0.28787,                 1.2454,                0.82845,                0.93539,               0.000802,               0.000802,               0.000802
                     33,                 1.1688,                0.81341,                0.94539,                0.51679,                0.57809,                0.53782,                0.28859,                 1.2689,                 0.8501,                0.94289,              0.0007954,              0.0007954,              0.0007954
                     34,                 1.1268,                0.78984,                0.93168,                0.47427,                0.57085,                0.51311,                0.28103,                 1.2194,                0.81097,                0.93346,              0.0007888,              0.0007888,              0.0007888
                     35,                 1.1311,                0.77643,                0.92825,                0.65974,                0.49269,                0.57541,                0.30676,                 1.2227,                0.83969,                0.93429,              0.0007822,              0.0007822,              0.0007822
                     36,                 1.1404,                 0.7718,                 0.9289,                0.61658,                0.54935,                0.52335,                0.25872,                 1.2879,                0.86739,                0.94969,              0.0007756,              0.0007756,              0.0007756
                     37,                  1.176,                0.78645,                 0.9425,                0.57047,                0.52747,                0.51885,                0.26276,                 1.2829,                 0.8664,                0.95098,               0.000769,               0.000769,               0.000769
                     38,                 1.1301,                0.76689,                0.92653,                 0.6886,                0.51001,                0.53731,                0.26871,                 1.3277,                0.87074,                0.95365,              0.0007624,              0.0007624,              0.0007624
                     39,                 1.1365,                0.75897,                0.92601,                0.63841,                 0.5429,                0.58269,                0.29398,                 1.2623,                0.83432,                0.93981,              0.0007558,              0.0007558,              0.0007558
                     40,                 1.1402,                0.76178,                0.93221,                0.66724,                0.52796,                0.54727,                0.29039,                 1.2555,                0.84063,                0.93833,              0.0007492,              0.0007492,              0.0007492
                     41,                 1.1372,                0.76787,                0.92721,                0.74436,                0.48776,                0.57877,                0.29581,                 1.2482,                0.80878,                0.94181,              0.0007426,              0.0007426,              0.0007426
                     42,                 1.1273,                0.74617,                0.93291,                0.73284,                0.54725,                0.61024,                0.32424,                 1.2713,                0.82349,                0.93639,               0.000736,               0.000736,               0.000736
                     43,                 1.1504,                0.76602,                0.92846,                0.65698,                0.52067,                0.56882,                 0.2971,                 1.3748,                0.83598,                0.97531,              0.0007294,              0.0007294,              0.0007294
                     44,                 1.1462,                0.75967,                0.92929,                0.71875,                0.56182,                0.60799,                0.31381,                 1.2568,                0.80357,                0.93909,              0.0007228,              0.0007228,              0.0007228
                     45,                 1.1341,                0.75428,                0.92853,                0.62374,                0.60859,                0.61254,                0.31497,                  1.285,                0.80516,                0.94467,              0.0007162,              0.0007162,              0.0007162
                     46,                 1.1049,                0.72122,                0.92213,                0.66828,                0.65151,                0.61803,                0.32367,                 1.2466,                0.78629,                0.93722,              0.0007096,              0.0007096,              0.0007096
                     47,                 1.1649,                0.75575,                0.93944,                0.66644,                0.58683,                0.62167,                0.32513,                 1.2249,                0.80206,                0.92766,               0.000703,               0.000703,               0.000703
                     48,                 1.1303,                0.74156,                0.92368,                0.65094,                0.56335,                0.59397,                0.30054,                 1.2668,                0.80655,                0.94499,              0.0006964,              0.0006964,              0.0006964
                     49,                  1.077,                 0.7235,                0.91785,                0.65322,                0.58934,                 0.5959,                0.31031,                 1.2345,                0.75474,                0.93518,              0.0006898,              0.0006898,              0.0006898
                     50,                 1.0593,                 0.6938,                0.90934,                0.70211,                0.59908,                0.64255,                0.35634,                 1.2276,                0.73015,                  0.938,              0.0006832,              0.0006832,              0.0006832
                     51,                 1.0958,                0.72693,                0.91977,                0.73427,                  0.584,                0.61613,                 0.3303,                 1.2346,                0.74758,                0.93151,              0.0006766,              0.0006766,              0.0006766
                     52,                 1.0863,                0.69804,                 0.9112,                0.71438,                0.49248,                0.59765,                0.32405,                 1.2733,                0.78058,                0.93741,                0.00067,                0.00067,                0.00067
                     53,                 1.0775,                0.70873,                0.91266,                0.70521,                0.53904,                0.58974,                 0.3067,                 1.3142,                0.78273,                0.95766,              0.0006634,              0.0006634,              0.0006634
                     54,                 1.0909,                0.71019,                0.91513,                 0.7407,                 0.5762,                0.60397,                0.32515,                 1.2772,                0.77018,                0.95293,              0.0006568,              0.0006568,              0.0006568
                     55,                 1.0598,                0.70085,                0.90653,                0.65981,                0.65751,                0.65589,                0.35878,                 1.2382,                0.75181,                0.93749,              0.0006502,              0.0006502,              0.0006502
                     56,                 1.0511,                0.68962,                0.89961,                0.70344,                0.58997,                0.65247,                0.36599,                 1.2085,                 0.7375,                0.92533,              0.0006436,              0.0006436,              0.0006436
                     57,                 1.0704,                0.70234,                0.91142,                0.70665,                0.62547,                0.62661,                0.34777,                 1.2535,                0.75458,                0.94046,               0.000637,               0.000637,               0.000637
                     58,                 1.0432,                 0.6796,                0.91241,                0.70952,                0.65771,                0.64859,                0.34759,                 1.2442,                0.75992,                0.93485,              0.0006304,              0.0006304,              0.0006304
                     59,                 1.0562,                0.69526,                0.91111,                0.70963,                0.63964,                0.66592,                0.35302,                 1.2436,                0.75501,                0.93107,              0.0006238,              0.0006238,              0.0006238
                     60,                 1.0497,                0.68072,                0.91139,                0.68049,                0.66729,                0.63069,                0.36488,                 1.2246,                0.73456,                0.93523,              0.0006172,              0.0006172,              0.0006172
                     61,                 1.0609,                0.67736,                0.90138,                0.65887,                0.64221,                0.61947,                  0.336,                 1.2571,                 0.7404,                0.94263,              0.0006106,              0.0006106,              0.0006106
                     62,                 1.0425,                0.68267,                0.90957,                 0.7202,                0.64275,                0.64663,                0.35612,                  1.244,                0.71057,                0.93863,               0.000604,               0.000604,               0.000604
                     63,                 1.0549,                0.66552,                0.89946,                0.67121,                0.64828,                0.62673,                0.33677,                 1.2373,                0.72301,                0.93875,              0.0005974,              0.0005974,              0.0005974
                     64,                 1.0364,                0.66406,                0.90217,                0.66849,                0.57825,                0.61666,                0.35087,                 1.2293,                0.73591,                0.92962,              0.0005908,              0.0005908,              0.0005908
                     65,                 1.0444,                0.67255,                0.89729,                0.64294,                0.65062,                0.63054,                0.35766,                 1.1877,                0.72128,                0.91954,              0.0005842,              0.0005842,              0.0005842
                     66,                 1.0283,                0.66047,                0.89605,                0.63233,                0.64788,                0.60963,                0.34818,                  1.212,                0.74273,                0.92681,              0.0005776,              0.0005776,              0.0005776
                     67,                 1.0469,                0.66221,                0.90551,                0.75259,                0.57545,                0.63216,                0.36356,                  1.221,                 0.7407,                0.92613,               0.000571,               0.000571,               0.000571
                     68,                 1.0565,                0.67019,                0.90165,                0.77952,                0.58848,                 0.6085,                0.34276,                 1.2229,                0.74529,                0.92992,              0.0005644,              0.0005644,              0.0005644
                     69,                 1.0095,                0.65987,                0.90332,                0.76394,                0.54385,                0.60961,                0.33781,                 1.2082,                0.74717,                0.92665,              0.0005578,              0.0005578,              0.0005578
                     70,                0.99762,                0.64669,                0.89451,                0.72229,                0.56928,                0.59945,                0.33355,                  1.186,                0.73974,                0.91936,              0.0005512,              0.0005512,              0.0005512
                     71,                 1.0282,                0.65719,                0.89649,                 0.6826,                 0.6203,                0.60986,                0.34036,                  1.197,                0.73208,                0.92353,              0.0005446,              0.0005446,              0.0005446
                     72,                0.99463,                0.64321,                0.88901,                0.76468,                0.56281,                0.63365,                0.34974,                 1.2016,                0.71196,                0.92595,               0.000538,               0.000538,               0.000538
                     73,                 1.0229,                 0.6539,                0.89174,                0.78963,                0.57719,                0.67283,                0.36721,                  1.178,                0.68939,                0.91722,              0.0005314,              0.0005314,              0.0005314
                     74,                 1.0031,                0.63609,                0.89942,                 0.7118,                0.63173,                0.62687,                0.34791,                 1.2058,                0.70509,                0.92444,              0.0005248,              0.0005248,              0.0005248
                     75,                  1.034,                0.64561,                0.89688,                0.64279,                0.67957,                0.62609,                0.35684,                 1.2331,                0.72009,                0.93145,              0.0005182,              0.0005182,              0.0005182
                     76,                 1.0162,                0.64429,                0.89568,                0.63047,                0.64554,                0.60435,                0.34407,                 1.2216,                  0.716,                0.92927,              0.0005116,              0.0005116,              0.0005116
                     77,                 1.0092,                0.66056,                0.89988,                0.61929,                0.63433,                0.59832,                0.31132,                 1.2966,                0.72368,                0.95017,               0.000505,               0.000505,               0.000505
                     78,                 1.0061,                0.62955,                 0.8887,                0.69049,                0.62952,                 0.6313,                 0.3549,                 1.2481,                0.71561,                 0.9368,              0.0004984,              0.0004984,              0.0004984
                     79,                 1.0326,                0.65246,                0.89422,                0.65031,                0.67519,                0.64749,                0.34014,                 1.2599,                0.71663,                0.93834,              0.0004918,              0.0004918,              0.0004918
                     80,                0.96848,                0.62506,                0.88688,                0.68828,                0.61999,                0.61722,                0.35061,                 1.2128,                0.70576,                0.92523,              0.0004852,              0.0004852,              0.0004852
                     81,                0.96532,                0.61237,                0.88886,                0.67597,                 0.5856,                0.60325,                0.32555,                 1.2176,                0.71371,                0.92496,              0.0004786,              0.0004786,              0.0004786
                     82,                0.96603,                0.61576,                0.88257,                0.66643,                0.65051,                0.60893,                0.32936,                 1.2028,                0.71136,                  0.929,               0.000472,               0.000472,               0.000472
                     83,                0.98255,                0.62033,                0.88048,                 0.6563,                0.63588,                0.61183,                0.34216,                 1.2069,                0.70866,                0.92946,              0.0004654,              0.0004654,              0.0004654
                     84,                0.96282,                0.61487,                0.88899,                0.71324,                0.60279,                 0.6224,                 0.3518,                 1.2011,                 0.7169,                0.92626,              0.0004588,              0.0004588,              0.0004588
                     85,                0.97034,                0.61329,                0.88675,                0.69389,                0.61629,                0.63326,                0.35044,                 1.1933,                0.70961,                0.92525,              0.0004522,              0.0004522,              0.0004522
